,/gpu-intel/0xA7A1/power/0
Time,GPU Package
11:27:01,4.75059843
11:27:02,4.96213436
11:27:03,5.184001
11:27:04,4.55965853
11:27:05,4.72054338
11:27:06,4.825227
11:27:07,5.065744
11:27:08,4.784796
11:27:09,5.15215874
11:27:10,4.57684326
11:27:11,4.71067524
11:27:12,4.704755
11:27:13,4.652874
11:27:14,4.67247343
11:27:15,4.761787
11:27:16,4.841641
11:27:17,4.798327
11:27:18,4.96103668
11:27:19,5.088978
11:27:20,4.79241943
11:27:21,4.714889
11:27:22,4.738797
11:27:23,4.964903
11:27:24,4.711604
11:27:25,4.009191
11:27:26,4.6999
11:27:27,4.915043
11:27:28,4.68591738
11:27:29,4.958358
11:27:30,4.65853548
11:27:31,4.85716772
11:27:32,5.259959
11:27:33,5.118148
11:27:34,5.390186
11:27:35,5.137029
11:27:36,5.292284
11:27:37,5.110799
11:27:38,4.85788059
11:27:39,5.34449863
11:27:40,5.796246
11:27:41,6.15264225
11:27:42,6.03322554
11:27:43,5.86776829
11:27:44,5.771461
11:27:45,5.639363
11:27:46,5.70881128
11:27:47,5.36717272
11:27:48,5.435723
11:27:49,4.84791851
11:27:50,4.928707
11:27:51,4.76882744
11:27:52,4.798754
11:27:53,4.650202
11:27:54,4.736725
11:27:55,4.52332973
11:27:56,4.32766247
11:27:57,12.0200319
11:27:58,6.7624855
11:27:59,5.60022163
11:28:00,4.537776
11:28:01,4.433988
11:28:02,5.29091835
11:28:03,8.22576
11:28:04,6.35294342
11:28:05,5.990386
11:28:06,4.82974958
11:28:07,4.538115
11:28:08,4.849015
11:28:09,4.60370731
11:28:10,4.52582359
11:28:11,4.471421
11:28:12,4.503129
11:28:13,4.30375
11:28:14,4.60519457
11:28:15,4.411581
11:28:16,5.176064
11:28:17,4.703449
11:28:18,4.558454
11:28:19,4.67558
11:28:20,4.57017326
11:28:21,4.534144
11:28:22,4.549608
11:28:23,4.67391157
11:28:24,4.717078
11:28:25,4.51643562
11:28:26,4.924216
11:28:27,4.82449245
11:28:28,4.775638
11:28:29,4.769281
11:28:30,4.53243876
11:28:31,4.597375
11:28:33,5.27385426
11:28:34,4.685646
11:28:35,4.63006353
11:28:36,6.157377
11:28:37,8.446095
11:28:38,5.15557957
11:28:39,5.0834856
11:28:40,4.775065
11:28:41,4.752407
11:28:42,4.740904
11:28:43,4.83599329
11:28:44,4.59587145
11:28:45,4.250105
11:28:46,4.72739029
11:28:47,4.45012951
11:28:48,4.815032
11:28:49,4.66846752
11:28:50,4.44068336
11:28:51,4.83647966
11:28:52,4.57703066
11:28:53,4.597885
11:28:54,4.66188431
11:28:55,5.245524
11:28:56,5.326088
11:28:57,5.05583858
11:28:58,4.916895
11:28:59,4.855852
11:29:00,4.902886
11:29:01,4.836176
11:29:02,4.72233772
11:29:03,4.965335
11:29:04,4.92857075
11:29:05,5.1639
11:29:06,4.71317625
11:29:07,4.846576
11:29:08,4.930372
11:29:09,5.27168465
11:29:10,4.81613541
11:29:11,5.087238
11:29:12,4.800175
11:29:13,4.78780174
11:29:14,4.91974831
11:29:15,5.0385766
11:29:16,4.52855873
11:29:17,4.41719341
11:29:18,5.16228
11:29:19,4.91078854
11:29:20,4.884303
11:29:21,4.820501
11:29:22,5.24133158
11:29:23,6.585944
11:29:24,4.87628937
11:29:25,5.01779032
11:29:26,4.75388527
11:29:27,4.91609526
11:29:28,4.989068
11:29:29,4.892609
11:29:30,4.86528349
11:29:31,4.97322369
11:29:33,5.428404
11:29:34,4.916478
11:29:35,4.88678265
11:29:36,4.79983
11:29:37,5.093124
11:29:38,4.83435535
11:29:39,4.696639
11:29:40,4.745369
11:29:41,4.8546443
11:29:42,4.875335
11:29:43,5.049339
11:29:44,4.61100149
11:29:45,4.63771963
11:29:46,4.24529552
11:29:48,4.397209
11:29:49,4.78918839
11:29:51,4.89134932
11:29:53,4.69475365
11:29:54,4.96939039
11:29:55,4.97925568
11:29:56,4.63112068
11:29:57,4.72604465
11:29:58,4.7605195
11:29:59,5.06936264
11:30:00,4.82742834
11:30:01,5.0048604
11:30:03,4.84942436
11:30:04,4.85396147
11:30:05,4.92569447
11:30:06,4.81817675
11:30:07,4.975224
11:30:08,4.74280548
11:30:09,5.043759
11:30:10,5.13254356
11:30:11,5.10013151
11:30:12,4.83473349
11:30:13,4.705104
11:30:14,5.01937675
11:30:15,4.9064064
11:30:16,4.84187365
11:30:17,4.28413868
11:30:18,4.40783167
11:30:19,4.92093134
11:30:20,5.02181768
11:30:21,4.94186974
11:30:22,4.740527
11:30:23,5.037711
11:30:24,5.08897543
11:30:25,5.040018
11:30:26,4.68469954
11:30:27,4.869176
11:30:28,4.872097
11:30:29,4.69670963
11:30:30,4.89459038
11:30:31,4.64622831
11:30:32,5.044565
11:30:33,5.00546741
11:30:34,4.94895935
11:30:35,8.882522
11:30:36,6.64031029
11:30:37,5.606414
11:30:38,4.721184
11:30:39,4.98341846
11:30:40,4.82747173
11:30:41,4.34227753
11:30:42,4.818438
11:30:43,5.02921963
11:30:44,4.223726
11:30:45,4.67813158
11:30:46,4.21808
11:30:47,4.78542662
11:30:48,4.923586
11:30:49,4.81831264
11:30:50,4.86553955
11:30:51,4.85306358
11:30:52,4.24077463
11:30:53,3.97656465
11:30:54,4.80364752
11:30:55,4.525401
11:30:56,4.66396
11:30:57,4.857507
11:30:58,4.291308
11:30:59,4.824879
11:31:00,4.9867
11:31:01,4.832547
11:31:02,4.72298431
11:31:03,4.98539972
11:31:04,4.8415513
11:31:05,5.18919
11:31:06,4.929867
11:31:07,4.721803
11:31:08,5.06550264
11:31:09,5.1392374
11:31:10,4.795549
11:31:11,4.753794
11:31:12,4.76393938
11:31:13,5.025178
11:31:14,5.13079834
11:31:15,4.77722931
11:31:16,4.85473347
11:31:17,4.80062342
11:31:18,4.72756243
11:31:19,5.020128
11:31:20,4.952587
11:31:21,4.917658
11:31:22,5.09721661
11:31:23,4.88050127
11:31:24,4.558706
11:31:25,4.280073
11:31:26,4.25552
11:31:27,6.91495752
11:31:28,7.39195871
11:31:29,4.376911
11:31:30,6.19411755
11:31:31,5.037198
11:31:32,5.57717276
11:31:33,5.155646
11:31:34,4.479987
11:31:35,4.39948559
11:31:36,4.45750856
11:31:37,4.444492
11:31:38,4.529779
11:31:39,4.756531
11:31:40,4.454642
11:31:41,4.60892439
11:31:42,4.44960833
11:31:43,4.679796
11:31:44,4.653213
11:31:45,4.80385256
11:31:46,4.867904
11:31:47,4.72777653
11:31:48,4.64924145
